المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,414,076"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,414,862"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,415,105"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,415,372"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,417,257"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,418,901"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,419,778"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,037"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,421,512"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,419,768"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,097"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,433"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,562"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,421,911"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,424,831"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,593"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,564"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,659"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,763"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,326"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,510"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,906"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,969"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,972"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,428,210"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,428,324"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,428,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,428,996"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,429,051"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,429,387"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,429,845"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,430,580"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,430,876"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,431,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,432,179"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,432,499"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,432,773"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,432,912"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,018"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,026"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,258"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,278"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,388"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,433,536"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,434,113"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,434,648"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,435,156"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,435,604"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,435,665"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,435,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,436,071"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"44,437,569"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,438,068"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,156"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,246"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,401"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,443,757"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,750"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,439,761"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,440,217"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,440,681"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,440,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,441,775"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,443,296"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,443,336"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,446,055"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,447,218"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,447,406"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,447,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,138"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,268"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,575"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,661"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,672"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,448,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,449,907"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,449,985"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"44,439,632"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,450,198"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,450,298"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,450,852"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,451,235"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,451,574"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,452,017"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,452,384"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,452,885"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,453,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,453,556"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,453,867"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,454,362"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/03,"44,455,153"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,455,566"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,455,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,456,521"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,456,872"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,457,572"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,457,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,457,594"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,457,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,458,190"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,459,246"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,459,985"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,459,988"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,460,313"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,461,021"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,461,461"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,461,618"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,462,663"
منطقة الشرقية,حفر الباطن,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/04,"44,462,465"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,462,816"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,463,695"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,465,240"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,465,319"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,465,710"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,466,059"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,466,356"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,466,695"
منطقة الشرقية,حفر الباطن,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/04,"44,462,096"
منطقة الشرقية,حفر الباطن,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/04,"44,461,982"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,471,621"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,467,404"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,467,464"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,467,619"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,467,974"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,467,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,468,240"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,468,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,468,273"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,468,840"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,469,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,469,200"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,469,752"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,470,668"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,471,074"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,471,319"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,471,386"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,472,114"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,473,647"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,474,098"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,474,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,474,229"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,475,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,475,589"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"44,476,342"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"44,476,548"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,476,812"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,477,619"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,478,418"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,479,074"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,479,482"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,481,080"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,481,933"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,482,150"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,482,517"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,483,169"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,052"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,485,058"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,485,282"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,483,420"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,483,745"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,033"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,455"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,544"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,582"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,596"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,783"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,484,867"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,485,059"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,485,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,485,283"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,486,140"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,486,625"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,486,941"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,487,257"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,487,414"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/05,"44,487,572"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,488,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,488,595"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,031"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,146"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,147"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,357"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,376"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,410"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,489,671"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,490,273"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,491,643"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,496,875"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,498,308"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,498,819"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,498,985"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,071"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,122"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,258"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,292"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,309"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,499,595"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/06,"44,500,267"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,500,539"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,501,123"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,503,056"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,503,483"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,503,504"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,504,044"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,504,158"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,504,580"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,504,834"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,504,951"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,505,352"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,505,665"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,506,172"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,506,474"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,506,647"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,506,675"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,507,879"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,508,043"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,508,328"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,508,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,508,913"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,509,523"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,509,787"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,510,252"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,510,371"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,510,410"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/06,"44,510,596"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/06,"44,500,179"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/06,"44,499,785"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,201"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,394"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,610"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,621"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,511,910"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,512,285"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,512,574"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,513,321"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"44,514,030"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,515,524"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,515,847"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,516,085"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,194"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,891"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,892"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,894"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,934"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,517,990"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,302"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,357"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,791"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,887"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,518,945"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,519,005"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,519,345"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,519,428"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,519,755"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,519,875"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,520,401"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,520,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,520,843"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,521,161"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,521,431"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,521,596"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,521,667"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,522,526"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,522,871"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,523,106"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,523,250"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,524,608"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,524,793"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,524,971"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,525,382"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,525,496"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,525,619"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,525,803"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,525,999"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,526,135"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,526,246"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,527,011"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,527,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,528,067"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,528,232"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,528,973"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,529,518"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,529,615"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,529,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,530,168"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,530,328"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,530,415"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,530,445"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,531,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,532,065"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/07,"44,532,386"
